author,category,description,name,price,priceCurrency,ratingValue,pert_alcohol
Jonny McCormick,Irish Single Pot Still,"
Celebrating the 60th anniversary of a Parisian retailer, this represents the most mature Redbreast of the modern era. Rich dark prunes, papaya, and the aroma of polished antique furniture. Treacle, oily and weighty, baked apple, Black Forest gateaux, char, and sizzling spices, with new flavors appearing minute by minute. Water encourages cherry to the nose and pomegranate to the taste buds. The faithful will respond to the call. (540 bottles, La Maison du Whisky only) €490","Redbreast 25 year old, 53%",520.0,$,96,53.0
Jonny McCormick,Blended Malt Scotch Whisky,"
Captivating, enticing, and wonderfully charming, this first blended malt from Chivas Regal contains selections of five Speyside malts: Strathisla, Longmorn, Tormore, Allt-a-Bhainne, and Braeval. Red apple, cherry, raspberry fudge, peach and mango fruit salad, dusting of cinnamon, and dry heather sprigs. In essence, it’s rich and satisfying, with dark vanilla, apricot, Bourneville-covered Brazil nuts, and tangerine, smoothed over by caramel and wood spices, maltiness, and gingersnap biscuits. Quite heavenly. Editor's Choice","Chivas Regal Ultis, 40%",160.0,$,96,40.0
John Hansell,Bourbon/Tennessee,"
Distilled at the now legendary Stitzel-Weller distillery. Rich aromas of vanilla toffee, marzipan, cocoa, nutmeg and cinnamon. Similar follow-through on the palate, with black raspberry, maple syrup, teaberry, and dusty dried corn thrown into the mix. Warming cinnamon and polished oak on the finish. The sweet notes balance and integrate nicely with the oak. An exemplary rendition of an ultra-aged wheated bourbon. Price is per 375 ml. Editor's Choice.","John E. Fitzgerald Very Special Reserve 20 year old, 45%",300.0,$,96,45.0
Geoffrey Kleinman,Irish,"
This 13 year old malt from central Ireland is an uncommon foray into the Irish whiskey space for the Exclusive Malts Collection. Pure malt is the focus of the nose which supports that malt with tart green apple. On the palate this whiskey is a stunning mix of lush, sweet honey, salt, malt, green apple, and ginger spice. The balance and integration are nothing short of perfect. A long malty finish caps off one of the best Irish whiskeys I’ve had. (U.S. only)","The Exclusive Malts 13 year old 2002 (cask #20021), 54.2%",135.0,$,96,54.2
John Hansell,Bourbon/Tennessee,"
No age statement, but distilled in 1998. A beautiful expression of Stagg, and a lot of bourbon for your buck. Easy to drink with the addition of water, showing caramel, nougat, dates, dark chocolate, polished oak, along with a hint of leather and tobacco. Slightly better than last year’s release—richer, thicker, and more balanced. I’m enjoying Stagg’s more rounded, less aggressive demeanor of late. A classic! Editor's Choice.","George T. Stagg, 69.05%",80.0,$,96,69.05
Davin de Kergommeaux,Canadian,"
Monarch, the 75th anniversary limited edition of Canada’s best-selling whisky, raises the already high Crown Royal flavor bar. Zesty rye from an ancient Coffey still is the throbbing heart of this blend, balancing cloves, ginger, cinnamon, glowing hot pepper, and that gorgeous sour bitterness of rye grain against crispy, fresh-sawn lumber, fragrant lilacs, dark fruits, and green apples. Butterscotch, chocolate, toffee, mint, pine needles, and sweet pitchy balsam enrich a luscious, creamy mouthfeel carefully tempered by grapefruit pith. Editor's Choice","Crown Royal Monarch, 40%",75.0,$,96,40.0
Dave Broom,Single Malt Scotch,"
A rich amber color and elegantly oxidized notes greet you. There are luscious old fruits—pineapple, dried peach, apricot—and puffs of coal-like smokiness. In time, sweet spices (cumin especially) emerge. Superbly balanced. The palate, while fragile, still has real sweetness alongside a lick of treacle. It can take a drop of water, allowing richer, darker fruits to emerge. The finish is powerful, long, and resonant. Superb, not over-wooded, and a fair price for such a rarity. £1,995","Glenfarclas Family Casks 1954 Cask #1260, 47.2%",3360.0,$,96,47.2
John Hansell,Bourbon/Tennessee,"
The complete package: uncut, unfiltered, full-flavored, richly textured (almost chewy), and very complex. Notes of toffee-coated nuts, vanilla fudge, polished leather, cedar-tinged tobacco, barrel char, cocoa powder, and a hint of fig, wrapped up with a firm oak grip on the finish. Worth every penny of the premium price being charged for this commemorative release. Editor's Choice.","Booker’s 2014-01 “25th Anniversary Batch,” 65.4%",100.0,$,96,65.4
Dominic Roskrow,Blended Malt Scotch Whisky,"
With a name inspired by a 1926 Buster Keaton movie, only 1,698 bottles produced, and the news that one of the two batches is more than 30 years old, the clues were there that this blend was never going to be cheap. It isn't, but it's superb, rich in flavor that screams dusty old oak office, fresh polish, and Sunday church, with spices, oak dried fruits, squiggly raisins, and a surprising melting fruit-and-nut dairy chocolate back story.","Compass Box The General, 53.4%",325.0,$,96,53.4
Dave Broom,Japanese,"
Though aged in virgin American oak, it’s distillery character that’s in charge here; a fully expressive Yoichi. Rich, mysterious, layered, mixing rich fruit compote with scented coastal smoke (ozone, tar, soot) alongside masses of vetiver and cigar humidor. The palate is oily and immense, with fluxing layers of sweet fruit, oily peat, salt, and ink; camphor, flax seed, and in among the smoke, apple mint. Long, insanely complex, and jaw-droppingly good. This will go down as a classic. €185","Yoichi 1988 single cask, 62%",250.0,$,96,62.0
Dominic Roskrow,Irish,"
Wow! After the wonderful 12 year old cask strength, Redbreast does it again. This is a different beast altogether, but it is a stunner. This is Roger Waters doing The Wall: over the top, unsubtle, and totally entertaining. There’s lots going on: fermenting apples, juicy oils, spice, and dark cherry and berry fruits zip and fizz over the palate, the wood influence is sublime. I'm comfortably numb.","Redbreast 21 year old, 46%",180.0,$,96,46.0
John Hansell,Bourbon/Tennessee,"
A marriage of four different bourbons, ranging from 11 to 17 years old. This, to me, is benchmark Four Roses: subtly complex, vibrant, yet fully matured, with well-defined flavors of bramble, dry citrus, soft creamy vanilla, caramel, marzipan, allspice, a hint of cinnamon, and subtle cedar-aged cigar tobacco.  Soft, clean, polished oak finish. A very versatile bourbon! Your decision shouldn’t be whether to buy it, but rather how much water to add.","Four Roses 2012 Limited Edition Small Batch, 55.7%",90.0,$,96,55.7
John Hansell,Bourbon/Tennessee,"
Another excellent Stagg, and considering its alcohol level, it’s also a good value if you can get it at this price. Notes of toffee, pot still rum, nougat, dates, tobacco, roasted nuts, polished oak, and leather. Great depth and nicely balanced. A masculine bourbon of character and structure.  ","George T. Stagg, 71.4%",70.0,$,96,71.4
John Hansell,Bourbon/Tennessee,"
Sometime recently, the source of this whiskey changed from the now defunct Stitzel-Weller distillery to Buffalo Trace. No matter. This whiskey is still the best of the Van Winkle line. It’s crisp, clean, vibrant, impeccably balanced, and nicely matured. Complex fruit (bramble, candied citrus), caramel, coconut custard, maple syrup, fresh spice (vanilla, warming cinnamon, nutmeg, a dusting of cocoa powder) on a bed of nougat. Outstanding! (Editor's Choice)","Pappy Van Winkle’s Family Reserve 15 year old, 53.5%",75.0,$,96,53.5
John Hansell,Rye Whiskey,"
Very similar to last year’s release. Well rounded, with a gently sweet foundation (toffee, vanilla taffy), pleasant spice (cinnamon, mocha, soft evergreen), date, glazed citrus, bramble, and a gentle finish for a rye. A classic ultra-aged rye whiskey. ","Sazerac Rye 18 year old, 45%",70.0,$,96,45.0
John Hansell,Bourbon/Tennessee,"
From one barrel, and only sold in one location, but well worth the effort to procure a bottle. Nutty toffee, pecan pie, apricot, berried jam, and nougat, peppered with cinnamon, mint, cocoa, and tobacco. Warming, with polished leather and dried spice on the finish.  Seamless, richly textured, and impeccably balanced. (Exclusive to the Bourbon Heritage Center at the Heaven Hill distillery in Bardstown, KY.) ","Elijah Craig Barrel No. 3,735 20 year old, 45%",150.0,$,96,45.0
Dominic Roskrow,Irish Single Pot Still,"
Irish Distillers has already released two 90+ pot still whiskeys this year, but this is the knockout blow, an immense take on the wonderful Redbreast. The nose gives little away, all damp autumn leaves and fermenting forest fruit, but on the palate it's a fireworks display, a colorful mix of apple and pear, berries, vine fruits, chocolate liqueur, and oily pureed fruit. It's coming to the States soon, and rumor has it there's more to follow. But this will do. I can't think if I've ever tasted a better Irish whiskey.  €75","Redbreast 12 Year Old Cask Strength, 57.7%",101.0,$,96,57.7
John Hansell,Single Malt Scotch,"
Definitely showing its age, but not in a bad way — the distillery character is still there. Solid foundation of thick, chewy toffee, old pot still rum, and fig cake. Fruity too, with notes of golden raisin and nectarine. Soft, seductive peat smoke, juicy oak, cinnamon, and brine round out the palate. Excellent balance! One of the finest Bowmore whiskies I’ve ever tasted (and, at this price, will probably never taste again.) (Editor's Pick) ","Bowmore, 40 year old, 44.8%",11000.0,$,96,44.8
John Hansell,Bourbon/Tennessee,"
Unlike the standard “small batch” releases, this is from a single barrel: a really good single barrel. I rated the 18 year old small batch a 93 in the last issue, and I like this one even better. There’s less wood getting in the way. It’s softer, more elegant. Lovely fruit, gently sweet (black raspberry jam, blueberry pie), with nougat, creamy vanilla, a sprinkling of cinnamon, and polished leather on the finish. And so drinkable. Classic stuff!","Jefferson’s Presidential Select, 18 year old, 47%",110.0,$,96,47.0
John Hansell,Bourbon/Tennessee,"
Very similar to last year’s release. (A good thing, since it was wonderful!) Very smooth, with layered sweetness (toffee, fig cake, nougat, maple syrup), dark fruit (black raspberry, blueberry), cinnamon, and polished oak on the finish. A whisky of elegance and sophistication. (Editor's Choice)","William Larue Weller, 63.3%",70.0,$,96,63.3
John Hansell,Canadian,"
Perhaps the finest Canadian whisky I have ever tasted. Creamy and seamless from beginning to end. Gently sweet, with orange creamsicle, marzipan, sultana, praline, maple syrup, and a hint of coconut macaroon. Forty Creek whiskies have always been very good, but none have ever had the right stuff to reach classic status. Until now, that is. An outstanding, very distinctive whisky!","Forty Creek Confederation Oak Reserve, 40%",70.0,$,96,40.0
John Hansell,Irish Single Pot Still,"
Very elegant, complex, and stylish. Honeyed and silky in texture, with toffee, toasted marshmallow, nougat, maple syrup, banana bread, and a hint of toasted coconut. Bright fruit and golden raisin blend in nicely with the layers of sweetness. Impeccable balance and very approachable. Classic Irish whiskey! (Value Pick)","Redbreast, 12 year old, 40%",43.0,$,96,40.0
John Hansell,Rye Whiskey,"
The first rye whiskey I have tasted to rival the Sazerac Rye 18 year old. This is a great whiskey from beginning to end. Soothing layers of sweetness (vanilla, maple syrup, cookie dough, toffee) are balanced by candied fruit and waves of spice (mint, cinnamon, nutmeg, cocoa powder).l The palate is clean, the flavors are deep, the spices are well-defined, and there’s not one hint of excessive or tired oak. A bench-mark rye. (A Ledger’s Liquors exclusive.) 
","Willett Family Reserve, Single Barrel, Rye, Barrel #618, 22 year old, 1984 vintage, 68.35%",175.0,$,96,68.35
John Hansell,Bourbon/Tennessee,"
This whiskey has improved greatly over the past two years. (I thought that the 2007 release was almost too easy-going, as some wheated bourbons can be.) A little more oak spice has added balance, complexity, and depth. Very clean on the palate. Layered sweetness (toffee, caramel, maples syrup, elegant rum) provide a foundation for warming cinnamon, bramble, blueberry tart, sultana, light candy corn, herbal tea, and subtle marzipan. A soft, dry, polished oak finish ropes in all the sweetness, keeping me wanting more. Excellent!
","William Larue Weller, 67.4%",65.0,$,96,67.4
John Hansell,Bourbon/Tennessee,"
Very well-balanced and mellow on the nose and palate.  Sweet notes of mature dark rum, toffee, nougat, and candy corn dovetail with dried apricot, golden raisin, hot cinnamon, soft mint tea, and vanilla.  Polished leather and tobacco leaves on a long, contemplative finish.  This is what ultra-mature bourbon should taste like: all the depth and complexity that comes with this much aging, without all the excessive oak.  The wood is there, but it never crosses the line.  The next closest Heaven Hill bourbon in age is the Evan Williams 23 year old for the export market.  There's no comparison.  The Evan Williams 23 year old is way past its prime.  This Parker's Heritage Collection has it easily beat.  In fact, this Parker's shows less oak and lethargy on the finish than the 129.6 proof expression of last year's inaugural 1996 vintage Parker's Heritage Collection, a whisky less than half its age.  (There were three different expressions, and I thought the other two were outstanding).
Parker Beam chose these whiskeys from the third floor of Warehouse U.  Given that the whiskeys were low in the warehouse, the average summer high temperatures were 6-10 degrees cooler than the top floor; helping to slow the aging process and the oak influence.","Parker's Heritage Collection, 27 year old, 48%",200.0,$,96,48.0
John Hansell,Single Malt Scotch,"
It’s great that Glenlivet releases whiskies under the 'Cellar Collection' label. It really shows the true potential of Glenlivet. This bottling is classic ultra-matured Glenlivet, and rivals the 1959 vintage Cellar Collection as the best one ever. An incredibly complex whisky, with notes of vanilla, ripe barley, coconut, and caramel. All this is accentuated by glazed orange, hazelnut, and a potpourri of dried spices. Not the least bit tired for such an aged whisky. (Only 800 bottles for the U.S.)","The Glenlivet Cellar Collection 1969 vintage, 50.8%",750.0,$,96,50.8
John Hansell,Single Malt Scotch,"
Powerful, muscular, well-textured, and invigorating. Even within the realm of Ardbeg, this one stands out. The more aggressive notes of coal tar, damp kiln, anise, and smoked seaweed are supported by an array of fruit (black raspberry, black cherry, plum), dark chocolate, espresso, molasses, bacon fat, kalamata olive, and warming cinnamon on the finish. Quite stunning!","Ardbeg Corryvreckan, 57.1%",85.0,$,96,57.1
John Hansell,Single Malt Scotch,"
The Dalmore is one of a handful of whiskies that seem to be able to age in the cask for many decades and still improve. This one is incredibly viscous on the nose and palate (and very heavy on the tongue), with chewy toffee and old pot still rum. The classic Dalmore marmalade note shines throughout, along with vanilla cream, an array of dried spices (especially cinnamon and evergreen), juicy oak, forest bedding, rancio, old armagnac, polished leather, tobacco, maple syrup, dark chocolate, almond macaroon, and subtle espresso. Long, mouth-coating finish. The flavors evolve like waves lapping on the palate -- especially the interplay with the oak. I can’t drink this whisky slowly enough. A rare experience for the lucky few who can afford it. (Price is per 100ml.)","The Dalmore 50 year old, 52.8%",,$,96,52.8
John Hansell,Bourbon/Tennessee,"
A crisp, robust, very dynamic bourbon. Amber-orange marmalade color. Spicy, with notes of cinnamon, spearmint, and Earl Grey tea. The spice is balanced nicely by thick toffee, rhum agricole, caramel apple, and bright citrus, with a polished leather finish. There have been some great Birthday Bourbons, but I think this is the best one to date. A whiskey deserving classic status. 
","Old Forester Birthday Bourbon, 1994 vintage, 47%",40.0,$,96,47.0
John Hansell,Single Malt Scotch,"
Classic sherry cask-aged Macallan. Antique amber with hints of ruby. Thickly textured, complex, and quite deep, with notes of toffee, ripe pit fruit, raisin, apple pie, dried spice (cinnamon, clove, ginger, and mint), and a wisp of smoke. An exceptional, multi-faceted Macallan!","The Macallan 29 year old 1976 Vintage (Cask #11354), 45.4%",,$,96,45.4
John Hansell,Rye Whiskey,"
Deep amber color. Bold and surprisingly youthful aromas, and quite vibrant for its age-huge spicy notes (mint, cinnamon, vanilla, anise, freshly ground pepper), with rich toffee, caramel and background fruit. Rich, enveloping body. Enormous in flavor, with youthful dynamic spices (mint, cinnamon, vanilla, pepper), wrapped in rich toffee and molasses, tamed by mature oak and leather notes. The flavors intensify on the palate, ultimately reaching a crescendo. The boldness of the spices and maturity of age dovetail perfectly. Its finish is very satisfying and seemingly eternal. 
","Sazerac Rye, 18 year old, 1983, 45%",38.0,$,96,45.0
John Hansell,Bourbon/Tennessee,"
My review of this whiskey a few years back indicated that it was too woody and past its prime to be a great whiskey. This one is better. (Yes, bottlings do change.) There’s more balance, and the oak is in check. It’s still big and brooding, with notes of toffee, roasted nuts, dried spice (cinnamon, rosemary, evergreen needles), candied fruit, cocoa, and polished oak. Tobacco and toffee on the finish, with lingering dried spices, and there’s a nice foundation of sweetness to balance all the oak and spice. 
","Pappy Van Winkle's Family Reserve (Bottle B1986), 23 year old, 47.8%",220.0,$,96,47.8
John Hansell,Rye Whiskey,"
Just what the category was missing -- a stellar, young, barrel-proof rye whiskey. Hugely spicy, with piercing mint, fiery cinnamon, vanilla, coconut, and fennel. Underlying notes of caramel, honey, and Seville orange provide some civility. It has more zing and richness than other young rye whiskeys, and it lacks the tired woodiness of the majority of the older rye expressions on the market. A clean, powerful, vibrant whisky that is a must for any rye enthusiast.","Thomas H. Handy, 66.35%",55.0,$,96,66.35
John Hansell,Bourbon/Tennessee,"
A wheated bourbon from the old Stitzel-Weller distillery. A gentle, richly-textured whiskey, loaded with fruit and spice. Black raspberry jam, caramel apple, and papaya, along with warming cinnamon and subtle teaberry, on nutty toffee, nougat, and creamy vanilla. Spicy, polished oak finish. Superbly balanced, sophisticated, and very drinkable. An outstanding whiskey!
","Jefferson's Presidential Select (Batch #1), 1991 Vintage, 17 year old, 47%",90.0,$,96,47.0
John Hansell,Single Malt Scotch,"
Deep gold color. Surprisingly lively on the nose for its age. A complex array of fruit (tangerine, sultana, pink grapefruit, papaya, and the general overall citrus DNA that you’ll find in old Bowmores), with balancing notes of honey and vanilla. A hint of damp smoke and coconut. Just like with Black Bowmore, this is a texturally soothing whisky on the palate, which continues to evolve in waves -- first the sweet honey, coating vanilla, and lively fruit, then turning quite visceral, with juicy oak, damp earth, deep peat smoke, and charcoal, followed by another wave of fruit (this time, dried fruit), finishing off with subtle charred oak and roasted nuts. This whisky is better than White Bowmore, and it falls just short of Black Bowmore (which I rated 97), because it’s just a bit softer and less vibrant on the palate.","Gold Bowmore, 1964 vintage, 42.4% ",6250.0,$,96,42.4
John Hansell,Rye Whiskey,"
Surprisingly lively. Very much like the 21 year old release in this regard, but not as spicy on the nose or palate. Instead, the spice is replaced by a layered, satisfying sweetness -- not by wood, like the somewhat lethargic, oak-dominated 23 year old release. Older doesn’t mean that it tastes older. Deep, nutty toffee foundation, with nougat, candied tropical fruit, and shoo-fly pie. The spices (cinnamon, spearmint, vanilla, cocoa powder) emerge mid-palate and linger, warming the finish. Not as vibrant as the 21 year old expression, but more sophisticated. I can’t speak for the other barrels in this lot, but I think this one is a great example of what a 20-plus year old rye whiskey should taste like.","Rittenhouse Rye, 25 year old, (Barrel #1), 50%",190.0,$,96,50.0
John Hansell,Irish,"
Antique gold. It’s the only 'pure pot still' whiskey produced at the Midleton distillery that’s available in the U.S., and its impact on the whiskey is enormous. Its flavors continue to evolve and are perfectly balanced with notes of lush fruit, toffee, fudge, almonds, and vanilla. It finishes long, with mature oak notes that linger. More seductive and not as bold as Jameson Gold. This is the definitive Irish whiskey-it's as simple as that! It will satisfy both Scotch and Irish whiskey drinkers. Don't come whining to me several months from now because you didn't get a bottle! Buy it now while you still can.","Jameson Pure Pot Still Limited Reserve, 15 year old, 43%",100.0,$,96,43.0
Fred Minnick,Rye Whiskey,"
Just beautiful. Long, rounded notes of caramel, cinnamon roll, taffy, butterscotch, brisket burnt ends, nutmeg, Jamaican jerk, plum pudding, ginger, light sassafras, root beer, roasted marshmallow, cotton candy, orange peel, raw honey, and pie crust. If it sounds complex, it’s because it is, and the finish just doesn’t quit, giving you a lingering taste of every note.","Kentucky Owl Rye 11 year old (Batch 1), 55.3%",130.0,$,95,55.3
Jonny McCormick,Irish Single Pot Still,"
Season 2 of Dair Ghaelach sees the action switch to six Irish oaks felled in a County Kilkenny bluebell forest. The balance of spice, toasted oak, and sweetness on the nose from tree one is singularly good, though clementine and grapefruit peel also clamor for attention. The acidity of the citrus collides with crunchy pot still spices, and grapefruit evolves into the most delicious ripe mango flavor. Simply heavenly.","Midleton Dair Ghaelach Bluebell Forest, 55.3%",300.0,$,95,55.3
Gavin Smith,Single Malt Scotch,"
This expression was matured in a European oak oloroso sherry butt. Overtly sherried, with figs, sultanas, cinnamon, and old warm leather on the nose. Finally, fragrant, with milk chocolate-coated Turkish delight. The Turkish delight carries over to the palate, before the chocolate darkens to plain, with raisins, smoked ham, and cloves in the long finish. Remarkably, almost no tannic oak. Textbook stuff.","The Balvenie 1973 43 year old, 46.6%",,$,95,46.6
Fred Minnick,Bourbon/Tennessee,"
This is a work of art. It begins by revealing vanilla, from custard to cake icing. Then it speaks caramel with a dark chew, crème brûlée, and Werther’s Original hard candy. From here, complexity takes over, with candied popcorn, butterscotch, chocolate ganache, French toast, maple, honey, pumpkin pie, fried pie dough, blueberries, and cinnamon, with hints of molasses and pecan. The long finish seems to offer a concentration of all the flavors. Delicious. Editor's Choice."," William Larue Weller (Buffalo Trace Antique Collection 2017), 64.1%",90.0,$,95,64.1
Davin de Kergommeaux,Canadian,"
Oh, the glory of used cooperage. Woody notes begone—let time slowly breathe life into what began as almost neutral, high-proof corn spirit. Creamy spice, barley sugars, peach syrup, dry grasses, and ancient barn boards. Incredible complexity, yet so tightly interwoven it achieves oneness. One hundred points until a campfire bursts onto the finish and consumes five of them.","J.P. Wiser’s 35 year old, 50%",165.0,$,95,50.0
Jonny McCormick,Irish Single Pot Still,"
The thicker, air-dried staves of Castanea sativa have a lower density and greater porosity than American oak. The different wood breakdown products enhance the pot still style, bringing confectionery sweetness, dark prunes, and effusive lighter spices. It rolls out a thick red carpet of sweet spice, cinnamon, and clove, with more pot still weight than oak tannins. Move over Redbreast; my pick from this crazy, experimental Irish Distillers range.€69","Method and Madness Single Pot Still Whisky Finished in French Chestnut, 46%",77.0,$,95,46.0
Davin de Kergommeaux,Canadian,"
This 100% rye-grain whisky is distilled in Alberta, then shipped to Sonoma, California for final touches. Finished in new American oak, batch PSA3 is one of the tastiest U.S. bottlings of Canadian rye ever. Soft caramels cushion ethereal honeysuckle, blackened firewood, and lusty rye spices on a framework of pulling oak tannins. Hugely complex, with new rewards in every sip.","Masterson’s 10 year old Rye (batch PSA3), 45%",89.0,$,95,45.0
Fred Minnick,Rye Whiskey,"
This is High West Rendezvous Rye finished in port and French oak barrels. It is a campfire pour. An arsenal of smoke, spice, and sweet, alternating back and forth. Just when you think the nuance ends, pronouncements of chocolate, cinnamon, plum, pepper spice, and barbecue. Its complexity hits a homerun, offering honey, red fruits, and citrus to a lingering, tickling, spicy finish. A must have. Sourced whiskey.","High West Midwinter Night’s Dram Act 3, 49.3%",80.0,$,95,49.3
John Hansell,Rye Whiskey,"
A benchmark rye whiskey, which has been stored in stainless steel tanks the past several years to prevent excessive aging while new batches mature. This is the last of the “tanked” stock. Soft and teasing for a rye whiskey, but perfectly balanced. Gentle toffee and molasses provide a foundation for interwoven clove, mint, and cinnamon. Delicately dry, lingering finish. Buffalo Trace Antique Collection 2015 Release.","Sazerac Rye 18 year old, 45%",80.0,$,95,45.0
John Hansell,Bourbon/Tennessee,"
Seamless in flavor and very elegant. A fully matured bourbon (consisting of whiskeys from 11 to 16 years in age), yet quite fresh on the palate. Lively fruit (apricot, red raspberry, tangerine) on a bed of lush sweet notes (caramel, honey-coconut crème brûlée and cotton candy), peppered with cinnamon, clove, and crisp mint. Soft finish, with lingering creamy vanilla. Not as great as the legendary 2013 release, but close.","Four Roses Limited Edition Small Batch (2015 Release), 54.3%",120.0,$,95,54.3
Jonny McCormick,Irish Blended Whiskey,"
A marriage of a single cask of grain from 1981 with a cask of pot still from 1984 to celebrate 30 years of Midleton Very Rare, the job undertaken masterfully by Barry Crockett and Brian Nation. The expressive nose is redolent of polished antique violin, warm gingerbread, the herbal tinges pricked by spices. Delicate honey, rich vanilla, toasty oak, and tendrils of cinnamon segue into a dry, spicy conclusion. La Peregrina of Irish whiskey. Ain’t she a beauty? (117 bottles) €6,000","Midleton Very Rare 30th Anniversary Pearl Edition, 53.1%",6354.0,$,95,53.1
John Hansell,Bourbon/Tennessee,"
A benchmark aged rye whiskey, and it’s similar in profile to recent releases . Vibrant for its age. Complex too, brimming with allspice, clove, mint, and cinnamon. The spice notes are balanced by soft vanilla, soothing caramel, and candied summer fruits. Impeccably balanced, and a pure joy to drink!","Sazerac Rye 18 year old, 45%",80.0,$,95,45.0
